Question,1,2,3,4
What is the capital of France?,Paris,Lyon,Marseille,Toulouse
Which continent is the Sahara Desert located on?,Africa,Asia,Australia,Europe
What is the largest country in the world by area?,Russia,Canada,China,United States
Which country has the most population?,China,India,United States,Indonesia
Which continent has the most countries?,Africa,Asia,Europe,South America
What is the smallest country in the world?,Vatican City,Monaco,Nauru,San Marino
Which country has the most islands?,Sweden,Philippines,Indonesia,Canada
What is the capital of Japan?,Tokyo,Osaka,Kyoto,Nagoya
Which ocean is the largest?,Pacific,Atlantic,Indian,Arctic
What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi
What country has the most time zones?,France,Russia,United States,China
Which country is both in Europe and Asia?,Turkey,Kazakhstan,Russia,Georgia
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal
What desert is the largest in the world?,Antarctic Desert,Sahara,Arabian,Gobi
What is the highest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse
Which US state is the largest by area?,Alaska,Texas,California,Montana
Which country is known as the Land of the Rising Sun?,Japan,China,Thailand,South Korea
Which country has the longest coastline?,Canada,Australia,Indonesia,Russia
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane
What sea lies between Europe and Africa?,Mediterranean Sea,Red Sea,Black Sea,Adriatic Sea
Which African country has the highest population?,Nigeria,Egypt,Ethiopia,South Africa
Which country has the highest number of volcanoes?,Indonesia,Japan,Iceland,Philippines
Which European country uses the Krona?,Sweden,Norway,Denmark,Iceland
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador
Which river flows through London?,Thames,Seine,Danube,Rhine
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor
Which Asian country is landlocked?,Afghanistan,Nepal,Thailand,Vietnam
Which ocean is the saltiest?,Atlantic,Pacific,Indian,Arctic
Which city is known as the "Big Apple"?,New York City,Los Angeles,Chicago,Boston
What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu
Which mountain range separates Europe and Asia?,Ural Mountains,Alps,Carpathians,Caucasus
What is the capital of Germany?,Berlin,Frankfurt,Munich,Hamburg
Which country is home to the Great Barrier Reef?,Australia,New Zealand,Indonesia,Fiji
Which country shares borders with the most others?,China,Russia,Germany,Brazil
What is the currency of the United Kingdom?,Pound,Euro,Dollar,Franc
What is the capital of Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza
Which country is home to the ancient city of Petra?,Egypt,Jordan,Morocco,Iraq
Which continent is Madagascar part of?,Africa,Asia,Australia,Europe
Which country is the flattest in the world?,Nepal,Maldives,Bangladesh,Denmark
Which country has the highest waterfall in the world?,Brazil,Venezuela,Canada,Norway
Which city is the capital of Turkey?,Istanbul,Ankara,Izmir,Antalya
Which country is home to Mount Kilimanjaro?,Kenya,Tanzania,Uganda,Rwanda
Which sea does the Danube River flow into?,Black Sea,Mediterranean Sea,Baltic Sea,Caspian Sea
Which U.S. state is closest to Russia?,Alaska,Hawaii,Washington,Oregon
Which country does the island of Sicily belong to?,Greece,Italy,Spain,France
Which European capital city sits on 14 islands?,Oslo,Stockholm,Helsinki,Copenhagen
Which African country has three capital cities?,Kenya,South Africa,Nigeria,Ethiopia
Which country surrounds Vatican City?,France,Italy,Spain,Switzerland
Which mountain range runs through Morocco?,Sierra Nevada,Atlas Mountains,Alps,Pyrenees
Which city is known as the highest capital in the world?,Quito,La Paz,Thimphu,Bogotá
