Question,1,2,3,4
What is the closest planet to the Sun?,Mercury,Venus,Earth,Mars
Which planet is known as the Red Planet?,Mars,Jupiter,Saturn,Neptune
What is the name of our galaxy?,Milky Way,Andromeda,Whirlpool,Sombrero
What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Pluto
What celestial objects orbit planets?,Moons,Stars,Asteroids,Comets
What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Lenticular
What force keeps planets in orbit around the Sun?,Gravity,Magnetism,Inertia,Electromagnetism
What is the name of the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins
What is the term for a star that suddenly increases in brightness?,Nova,Pulsar,Quasar,Black Hole
What do we call a rock that burns up in Earth's atmosphere?,Meteor,Asteroid,Comet,Meteorite
What is a meteorite?,A meteor that hits Earth,A comet in orbit,A burning rock in space,A moon fragment
What is the name of the telescope launched into space in 1990?,Hubble Telescope,James Webb Telescope,Kepler Telescope,Chandra Telescope
What planet has the most moons?,Saturn,Jupiter,Mars,Uranus
What is the Sun primarily made of?,Hydrogen,Helium,Carbon,Oxygen
What is the term for a system of two stars orbiting each other?,Binary star system,Double sun system,Star pair,Stellar duet
Which planet has rings?,Saturn,Earth,Mercury,Mars
What planet is famous for its Great Red Spot?,Jupiter,Saturn,Uranus,Neptune
What is the name for a star in the final stages of its life?,White dwarf,Blue giant,Protostar,Main sequence star
Which planet is tilted on its side?,Uranus,Neptune,Saturn,Jupiter
What do we call the explosion that creates a black hole?,Supernova,Nova,Nebula,Quasar
What planet is known as Earth's twin?,Venus,Mars,Saturn,Mercury
What do you call a group of stars that forms a pattern?,Constellation,Nebula,Galaxy,Cluster
What is the second planet from the Sun?,Venus,Mercury,Earth,Mars
What kind of object is Pluto now classified as?,Dwarf planet,Gas giant,Terrestrial planet,Asteroid
What is the name for the path a planet takes around the Sun?,Orbit,Axis,Trajectory,Loop
What is the name for the point closest to the Sun in a planet's orbit?,Perihelion,Aphelion,Ecliptic,Equinox
How long does Earth take to orbit the Sun?,365 days,24 hours,30 days,12 hours
What is the name of the phenomenon when the Moon blocks the Sun?,Solar eclipse,Lunar eclipse,Equinox,Transit
What type of celestial object is the Moon?,Natural satellite,Asteroid,Planet,Dwarf planet
What is the surface of the Sun called?,Photosphere,Chromosphere,Corona,Core
What is the term for the spinning of a planet on its axis?,Rotation,Revolution,Orbit,Precession
Which planet has a day longer than its year?,Venus,Mercury,Mars,Uranus
What is the term for when Earth is between the Moon and Sun?,Lunar eclipse,Solar eclipse,Transit,Opposition
Which planet has the highest mountain in the solar system?,Mars,Earth,Venus,Neptune
What is the Kuiper Belt?,A region of icy bodies beyond Neptune,The asteroid belt,Part of Saturn's rings,The edge of the galaxy
What is a light-year?,The distance light travels in one year,A unit of brightness,A star's lifetime,A time measurement
What kind of star is our Sun?,Yellow dwarf,Red giant,White dwarf,Neutron star
Which planet rotates the fastest?,Jupiter,Mercury,Earth,Mars
What is the event when a planet passes in front of a star?,Transit,Eclipse,Orbit,Rotation
What is the term for stars forming in a nebula?,Stellar nursery,Black hole,White dwarf,Dark matter
What are Saturn's rings made of?,Ice and rock,Gas,Dust and metal,Liquid
What galaxy is on a collision course with the Milky Way?,Andromeda,Triangulum,Whirlpool,Cartwheel
What kind of object is a comet mostly made of?,Ice and dust,Gas and light,Metal and rock,Plasma
What is a pulsar?,A rapidly spinning neutron star,A planet with a strong magnet,An exploding star,A star with rings
"What is the name for a huge group of stars, dust, and gas bound together?",Galaxy,Nebula,Constellation,Cluster
What is the brightest object in the night sky after the Moon?,Venus,Mars,Jupiter,Sirius
What is a black hole?,A region of space with gravity so strong not even light escapes,A hole in the sky,An empty part of space,A dead star with no gravity
What is a quasar?,A very bright and distant active galactic nucleus,A dying star,A planet with no atmosphere,A small black hole
What is dark matter?,An invisible substance thought to make up most of the universe's mass,A form of radiation,An ancient asteroid,A type of star
