Question,1,2,3,4
What is the chemical symbol for water?,H2O,HO,H2,O2
What is the atomic number of carbon?,6,12,8,4
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Which element has the chemical symbol Na?,Sodium,Nitrogen,Nickel,Neon
What is the pH of a neutral solution?,7,0,14,1
What type of bond involves the sharing of electron pairs between atoms?,Covalent,Ionic,Metallic,Hydrogen
What is the chemical symbol for gold?,Au,Ag,Gd,Go
What is the process of a solid changing directly to a gas called?,Sublimation,Condensation,Melting,Freezing
What is the smallest particle of an element?,Atom,Molecule,Electron,Neutron
Which subatomic particle has a negative charge?,Electron,Proton,Neutron,Positron
What is the atomic number of hydrogen?,1,0,2,8
Which element is a noble gas?,Neon,Nitrogen,Oxygen,Chlorine
What is the main component of natural gas?,Methane,Ethane,Propane,Butane
What is the chemical symbol for iron?,Fe,Ir,In,F
What is the process of converting a liquid to a gas?,Evaporation,Condensation,Freezing,Melting
What type of reaction releases heat?,Exothermic,Endothermic,Isothermal,Combustion
Which acid is found in the stomach?,Hydrochloric acid,Nitric acid,Sulfuric acid,Acetic acid
What is the formula for table salt?,NaCl,KCl,Na2CO3,CaCl2
What is the chemical formula for glucose?,C6H12O6,C6H6,C12H22O11,CH4
What is the chemical symbol for lead?,Pb,Pd,Pt,Pl
What kind of bond is formed between metal atoms?,Metallic,Covalent,Ionic,Hydrogen
Which element is liquid at room temperature?,Mercury,Aluminum,Iron,Carbon
What is the charge of a proton?,+1,0,-1,-2
What is the main gas responsible for the greenhouse effect?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen
What is formed when an acid reacts with a base?,Salt,Water,Acid,Metal
What is the study of carbon-containing compounds?,Organic chemistry,Inorganic chemistry,Physical chemistry,Biochemistry
What is the chemical symbol for potassium?,K,P,Po,Pt
Which particle determines the identity of an element?,Proton,Electron,Neutron,Isotope
What is the chemical symbol for helium?,He,H,Hl,Hm
What is the process of breaking down a compound with electricity?,Electrolysis,Combustion,Neutralization,Sublimation
Which element is a halogen?,Chlorine,Oxygen,Nitrogen,Neon
What does the atomic number represent?,Number of protons,Number of neutrons,Mass number,Number of electrons + neutrons
What is the chemical symbol for calcium?,Ca,Cu,Cs,Cl
Which element is found in all organic compounds?,Carbon,Oxygen,Hydrogen,Nitrogen
Which gas turns limewater milky?,Carbon dioxide,Hydrogen,Oxygen,Chlorine
What is a positively charged ion called?,Cation,Anion,Electron,Neutron
What is the unit for measuring the amount of a substance?,Mole,Gram,Liter,Newton
What kind of reaction is 2H2 + O2 -> 2H2O?,Combination,Decomposition,Displacement,Neutralization
What is the chemical formula of ammonia?,NH3,NH4,N2H4,NO2
What is the boiling point of water in Celsius?,100,0,212,50
Which of the following is a metalloid?,Silicon,Sodium,Gold,Oxygen
What is the mass number of an atom?,Protons + Neutrons,Protons + Electrons,Neutrons + Electrons,Protons
What is the common name for dihydrogen monoxide?,Water,Hydrogen peroxide,Bleach,Ammonia
Which metal is most reactive with water?,Potassium,Copper,Iron,Zinc
What is the most electronegative element?,Fluorine,Oxygen,Chlorine,Nitrogen
What kind of reaction is AB → A + B?,Decomposition,Combination,Displacement,Redox
Which state of matter has no definite shape but definite volume?,Liquid,Gas,Solid,Plasma
What is the chemical formula for sulfuric acid?,H2SO4,HNO3,HCl,CH3COOH
Which element has the symbol Zn?,Zinc,Zirconium,Zircon,Zirconite
What is the term for a solution that cannot dissolve more solute at a given temperature?,Saturated,Unsaturated,Supercooled,Concentrated
